origin,destination,od_pair,fare_rm,time_min,route,transfer_count,transfer_group,fare_label,time_label
Gombak,Taman Melati,Gombak → Taman Melati,1.3,3.0,KJL[Gombak > Taman Melati],0,Direct journey,RM 1.30,3 min
Gombak,Wangsa Maju,Gombak → Wangsa Maju,1.8,7.0,KJL[Gombak > Wangsa Maju],0,Direct journey,RM 1.80,7 min
Gombak,Sri Rampai,Gombak → Sri Rampai,1.9,9.0,KJL[Gombak > Sri Rampai],0,Direct journey,RM 1.90,9 min
Gombak,Setiawangsa,Gombak → Setiawangsa,2.5,15.0,KJL[Gombak > Setiawangsa],0,Direct journey,RM 2.50,15 min
Gombak,Jelatek,Gombak → Jelatek,2.7,17.0,KJL[Gombak > Jelatek],0,Direct journey,RM 2.70,17 min
Gombak,Dato' Keramat,Gombak → Dato' Keramat,2.6,18.0,KJL[Gombak > Dato' Keramat],0,Direct journey,RM 2.60,18 min
Gombak,Damai,Gombak → Damai,2.7,19.0,KJL[Gombak > Damai],0,Direct journey,RM 2.70,19 min
Gombak,Ampang Park,Gombak → Ampang Park,2.9,21.0,KJL[Gombak > Ampang Park],0,Direct journey,RM 2.90,21 min
Gombak,KLCC,Gombak → KLCC,3.1,22.0,KJL[Gombak > KLCC],0,Direct journey,RM 3.10,22 min
Gombak,Kampung Baru,Gombak → Kampung Baru,3.3,24.0,KJL[Gombak > Kampung Baru],0,Direct journey,RM 3.30,24 min
Gombak,Dang Wangi,Gombak → Dang Wangi,3.1,26.0,KJL[Gombak > Dang Wangi],0,Direct journey,RM 3.10,26 min
Gombak,Masjid Jamek (KJL),Gombak → Masjid Jamek (KJL),3.2,28.0,KJL[Gombak > Masjid Jamek (KJL)],0,Direct journey,RM 3.20,28 min
Gombak,Pasar Seni (KJL),Gombak → Pasar Seni (KJL),3.4,29.0,KJL[Gombak > Pasar Seni (KJL)],0,Direct journey,RM 3.40,29 min
Gombak,KL Sentral (KJL),Gombak → KL Sentral (KJL),3.6,32.0,KJL[Gombak > KL Sentral (KJL)],0,Direct journey,RM 3.60,32 min
Gombak,Bangsar,Gombak → Bangsar,3.8,34.0,KJL[Gombak > Bangsar],0,Direct journey,RM 3.80,34 min
Gombak,Abdullah Hukum,Gombak → Abdullah Hukum,3.8,37.0,KJL[Gombak > Abdullah Hukum],0,Direct journey,RM 3.80,37 min
Gombak,Kerinchi,Gombak → Kerinchi,3.5,38.0,KJL[Gombak > Kerinchi],0,Direct journey,RM 3.50,38 min
Gombak,Universiti,Gombak → Universiti,3.6,40.0,KJL[Gombak > Universiti],0,Direct journey,RM 3.60,40 min
Gombak,Taman Jaya,Gombak → Taman Jaya,3.1,44.0,KJL[Gombak > Taman Jaya],0,Direct journey,RM 3.10,44 min
Gombak,Asia Jaya,Gombak → Asia Jaya,3.2,46.0,KJL[Gombak > Asia Jaya],0,Direct journey,RM 3.20,46 min
Gombak,Taman Paramount,Gombak → Taman Paramount,3.4,49.0,KJL[Gombak > Taman Paramount],0,Direct journey,RM 3.40,49 min
Gombak,Taman Bahagia,Gombak → Taman Bahagia,3.5,52.0,KJL[Gombak > Taman Bahagia],0,Direct journey,RM 3.50,52 min
Gombak,Kelana Jaya,Gombak → Kelana Jaya,3.6,54.0,KJL[Gombak > Kelana Jaya],0,Direct journey,RM 3.60,54 min
Gombak,Lembah Subang,Gombak → Lembah Subang,3.7,57.0,KJL[Gombak > Lembah Subang],0,Direct journey,RM 3.70,57 min
Gombak,Ara Damansara,Gombak → Ara Damansara,3.9,59.0,KJL[Gombak > Ara Damansara],0,Direct journey,RM 3.90,59 min
Gombak,Glenmarie,Gombak → Glenmarie,4.1,62.0,KJL[Gombak > Glenmarie],0,Direct journey,RM 4.10,62 min
Gombak,Subang Jaya,Gombak → Subang Jaya,4.2,63.0,KJL[Gombak > Subang Jaya],0,Direct journey,RM 4.20,63 min
Gombak,SS 15,Gombak → SS 15,4.3,67.0,KJL[Gombak > SS 15],0,Direct journey,RM 4.30,67 min
Gombak,SS 18,Gombak → SS 18,4.4,69.0,KJL[Gombak > SS 18],0,Direct journey,RM 4.40,69 min
Gombak,USJ 7 (KJL),Gombak → USJ 7 (KJL),4.6,72.0,KJL[Gombak > USJ 7 (KJL)],0,Direct journey,RM 4.60,72 min
Gombak,Taipan,Gombak → Taipan,4.7,73.0,KJL[Gombak > Taipan],0,Direct journey,RM 4.70,73 min
Gombak,Wawasan,Gombak → Wawasan,4.8,76.0,KJL[Gombak > Wawasan],0,Direct journey,RM 4.80,76 min
Gombak,USJ 21,Gombak → USJ 21,4.9,78.0,KJL[Gombak > USJ 21],0,Direct journey,RM 4.90,78 min
Gombak,Alam Megah,Gombak → Alam Megah,5.1,81.0,KJL[Gombak > Alam Megah],0,Direct journey,RM 5.10,81 min
Gombak,Subang Alam,Gombak → Subang Alam,5.2,84.0,KJL[Gombak > Subang Alam],0,Direct journey,RM 5.20,84 min
Gombak,Putra Heights (KJL),Gombak → Putra Heights (KJL),5.3,88.0,KJL[Gombak > Putra Heights (KJL)],0,Direct journey,RM 5.30,88 min
Gombak,Sungai Buloh,Gombak → Sungai Buloh,5.7,66.0,KJL[Gombak > Pasar Seni (KJL)] >> SBK[Pasar Seni (SBK) > Sungai Buloh],1,1+ transfer,RM 5.70,66 min
Gombak,Kampung Selamat,Gombak → Kampung Selamat,6.3,64.0,KJL[Gombak > Pasar Seni (KJL)] >> SBK[Pasar Seni (SBK) > Kampung Selamat],1,1+ transfer,RM 6.30,64 min
Gombak,Kwasa Damansara,Gombak → Kwasa Damansara,6.0,62.0,KJL[Gombak > Pasar Seni (KJL)] >> SBK[Pasar Seni (SBK) > Kwasa Damansara],1,1+ transfer,RM 6.00,62 min
Gombak,Kwasa Sentral,Gombak → Kwasa Sentral,5.8,59.0,KJL[Gombak > Pasar Seni (KJL)] >> SBK[Pasar Seni (SBK) > Kwasa Sentral],1,1+ transfer,RM 5.80,59 min
Gombak,Kota Damansara,Gombak → Kota Damansara,6.0,56.0,KJL[Gombak > Pasar Seni (KJL)] >> SBK[Pasar Seni (SBK) > Kota Damansara],1,1+ transfer,RM 6.00,56 min
Gombak,Surian,Gombak → Surian,5.7,53.0,KJL[Gombak > Pasar Seni (KJL)] >> SBK[Pasar Seni (SBK) > Surian],1,1+ transfer,RM 5.70,53 min
Gombak,Mutiara Damansara,Gombak → Mutiara Damansara,5.9,50.0,KJL[Gombak > Pasar Seni (KJL)] >> SBK[Pasar Seni (SBK) > Mutiara Damansara],1,1+ transfer,RM 5.90,50 min
Gombak,Bandar Utama,Gombak → Bandar Utama,5.6,48.0,KJL[Gombak > Pasar Seni (KJL)] >> SBK[Pasar Seni (SBK) > Bandar Utama],1,1+ transfer,RM 5.60,48 min
Gombak,TTDI,Gombak → TTDI,5.2,45.0,KJL[Gombak > Pasar Seni (KJL)] >> SBK[Pasar Seni (SBK) > TTDI],1,1+ transfer,RM 5.20,45 min
Gombak,Phileo Damansara,Gombak → Phileo Damansara,5.3,42.0,KJL[Gombak > Pasar Seni (KJL)] >> SBK[Pasar Seni (SBK) > Phileo Damansara],1,1+ transfer,RM 5.30,42 min
Gombak,Pusat Bandar Damansara,Gombak → Pusat Bandar Damansara,4.6,38.0,KJL[Gombak > Pasar Seni (KJL)] >> SBK[Pasar Seni (SBK) > Pusat Bandar Damansara],1,1+ transfer,RM 4.60,38 min
Gombak,Semantan,Gombak → Semantan,4.4,36.0,KJL[Gombak > Pasar Seni (KJL)] >> SBK[Pasar Seni (SBK) > Semantan],1,1+ transfer,RM 4.40,36 min
Gombak,Muzium Negara,Gombak → Muzium Negara,3.7,32.0,KJL[Gombak > Pasar Seni (KJL)] >> SBK[Pasar Seni (SBK) > Muzium Negara],1,1+ transfer,RM 3.70,32 min
Gombak,Pasar Seni (SBK),Gombak → Pasar Seni (SBK),3.4,30.0,KJL[Gombak > Pasar Seni (KJL)] >> SBK[Pasar Seni (SBK) > Pasar Seni (SBK)],1,1+ transfer,RM 3.40,30 min
Gombak,Merdeka,Gombak → Merdeka,3.5,31.0,KJL[Gombak > Pasar Seni (KJL)] >> SBK[Pasar Seni (SBK) > Merdeka],1,1+ transfer,RM 3.50,31 min
Gombak,Bukit Bintang,Gombak → Bukit Bintang,3.8,34.0,KJL[Gombak > Pasar Seni (KJL)] >> SBK[Pasar Seni (SBK) > Bukit Bintang],1,1+ transfer,RM 3.80,34 min
Gombak,Tun Razak Exchange (TRX),Gombak → Tun Razak Exchange (TRX),4.1,36.0,KJL[Gombak > Pasar Seni (KJL)] >> SBK[Pasar Seni (SBK) > Tun Razak Exchange (TRX)],1,1+ transfer,RM 4.10,36 min
Gombak,Cochrane,Gombak → Cochrane,4.4,39.0,KJL[Gombak > Pasar Seni (KJL)] >> SBK[Pasar Seni (SBK) > Cochrane],1,1+ transfer,RM 4.40,39 min
Gombak,Maluri (SBK),Gombak → Maluri (SBK),4.4,40.0,KJL[Gombak > Pasar Seni (KJL)] >> SBK[Pasar Seni (SBK) > Maluri (SBK)],1,1+ transfer,RM 4.40,40 min
Gombak,Taman Pertama,Gombak → Taman Pertama,4.9,44.0,KJL[Gombak > Pasar Seni (KJL)] >> SBK[Pasar Seni (SBK) > Taman Pertama],1,1+ transfer,RM 4.90,44 min
Gombak,Taman Midah,Gombak → Taman Midah,5.1,46.0,KJL[Gombak > Pasar Seni (KJL)] >> SBK[Pasar Seni (SBK) > Taman Midah],1,1+ transfer,RM 5.10,46 min
Gombak,Taman Mutiara,Gombak → Taman Mutiara,5.4,48.0,KJL[Gombak > Pasar Seni (KJL)] >> SBK[Pasar Seni (SBK) > Taman Mutiara],1,1+ transfer,RM 5.40,48 min
Gombak,Taman Connaught,Gombak → Taman Connaught,5.8,51.0,KJL[Gombak > Pasar Seni (KJL)] >> SBK[Pasar Seni (SBK) > Taman Connaught],1,1+ transfer,RM 5.80,51 min
Gombak,Taman Suntex,Gombak → Taman Suntex,6.3,53.0,KJL[Gombak > Pasar Seni (KJL)] >> SBK[Pasar Seni (SBK) > Taman Suntex],1,1+ transfer,RM 6.30,53 min
Gombak,Sri Raya,Gombak → Sri Raya,6.2,56.0,KJL[Gombak > Pasar Seni (KJL)] >> SBK[Pasar Seni (SBK) > Sri Raya],1,1+ transfer,RM 6.20,56 min
Gombak,Bandar Tun Hussein Onn,Gombak → Bandar Tun Hussein Onn,6.5,58.0,KJL[Gombak > Pasar Seni (KJL)] >> SBK[Pasar Seni (SBK) > Bandar Tun Hussein Onn],1,1+ transfer,RM 6.50,58 min
Gombak,Batu 11 Cheras,Gombak → Batu 11 Cheras,6.7,60.0,KJL[Gombak > Pasar Seni (KJL)] >> SBK[Pasar Seni (SBK) > Batu 11 Cheras],1,1+ transfer,RM 6.70,60 min
Gombak,Bukit Dukung,Gombak → Bukit Dukung,6.6,63.0,KJL[Gombak > Pasar Seni (KJL)] >> SBK[Pasar Seni (SBK) > Bukit Dukung],1,1+ transfer,RM 6.60,63 min
Gombak,Sungai Jernih,Gombak → Sungai Jernih,7.1,67.0,KJL[Gombak > Pasar Seni (KJL)] >> SBK[Pasar Seni (SBK) > Sungai Jernih],1,1+ transfer,RM 7.10,67 min
Gombak,Stadium Kajang,Gombak → Stadium Kajang,7.2,68.0,KJL[Gombak > Pasar Seni (KJL)] >> SBK[Pasar Seni (SBK) > Stadium Kajang],1,1+ transfer,RM 7.20,68 min
Gombak,Kajang,Gombak → Kajang,6.8,71.0,KJL[Gombak > Pasar Seni (KJL)] >> SBK[Pasar Seni (SBK) > Kajang],1,1+ transfer,RM 6.80,71 min
Taman Melati,Wangsa Maju,Taman Melati → Wangsa Maju,1.4,4.0,KJL[Taman Melati > Wangsa Maju],0,Direct journey,RM 1.40,4 min
Taman Melati,Sri Rampai,Taman Melati → Sri Rampai,1.6,6.0,KJL[Taman Melati > Sri Rampai],0,Direct journey,RM 1.60,6 min
Taman Melati,Setiawangsa,Taman Melati → Setiawangsa,2.1,12.0,KJL[Taman Melati > Setiawangsa],0,Direct journey,RM 2.10,12 min
Taman Melati,Jelatek,Taman Melati → Jelatek,2.4,14.0,KJL[Taman Melati > Jelatek],0,Direct journey,RM 2.40,14 min
