datetime,from_stop,to_stop,riders,total_km,order_type,station_from,station_to
2023-02-11,D'Pulze Cyberjaya Bus Stop(11806),Putrajaya Central (Cyberjaya)(11798),1,6.62,on-demand,11806,11798
2023-02-01,D'Pulze Cyberjaya Bus Stop(11806),The Arc Cyberjaya (Bus Stop)(11855),1,2.31,on-demand,11806,11855
2023-02-09,Garden Plaza(11863),Putrajaya Central (Cyberjaya)(11798),1,6.1,advanced booking,11863,11798
2023-02-15,Padi House Cafeteria and Deli Cafe(11826),Mutiara Ville Residence-Persiaran Sepang(11853),1,1.55,on-demand,11826,11853
2023-02-28,University of Cyberjaya (UoC)(11829),Gem In Mall(11800),1,2.54,on-demand,11829,11800
2023-02-02,University of Cyberjaya (UoC)(11829),McDonald's @ Edusphere Cyberjaya(12217),1,0.66,on-demand,11829,12217
2023-02-16,Shaftsbusry Square Bus Stop(11808),Lim Kok Weng University (Barat) Bus Stop(11831),1,3.5,on-demand,11808,11831
2023-02-27,Sports Arena Cyberjaya(11814),Garden Plaza(11863),2,5.01,advanced booking,11814,11863
2023-02-24,Gem In Mall(11800),Shaftsbusry Square Bus Stop(11808),1,4.03,on-demand,11800,11808
2023-02-23,Serin Residency (Main Entrance)(11839),Shaftsbusry Square Bus Stop(11808),1,3.6,on-demand,11839,11808
2023-02-14,The Arc Cyberjaya (Bus Stop)(11855),Lim Kok Weng University (Barat) Bus Stop(11831),1,5.11,on-demand,11855,11831
2023-02-20,Tamarind Square Bus Stop(11807),D'Pulze Cyberjaya Bus Stop(11806),1,1.86,advanced booking,11807,11806
2023-02-25,Prima Avenue 1 Bus Stop(11818),Gem In Mall(11800),1,3.28,on-demand,11818,11800
2023-02-28,Cyberia Gate 2(11858),UNIKOP(12216),1,3.45,on-demand,11858,12216
2023-02-25,Gem In Mall(11800),D'Pulze Cyberjaya Bus Stop(11806),2,1.99,on-demand,11800,11806
2023-02-02,"Kompleks TM Bus Stop, Persiaran Sepang(11881)",Putrajaya Central (Cyberjaya)(11798),1,6.64,on-demand,11881,11798
2023-02-22,"MMU Bus Stop, Persiaran Multimedia(11827)",Lakefront Homes(11849),1,2.43,on-demand,11827,11849
2023-02-10,Shaftsbusry Square Bus Stop(11808),Cyberia Gate 2(11858),1,3.44,advanced booking,11808,11858
2023-02-22,"Glomac Bus Stop,Persiaran Teknokrat 3 (11821)",SP 43 Perdana Lakeview West (Bus Stop) (11872),1,2.75,on-demand,11821,11872
2023-02-04,CBD Perdana 1 (Saba Restaurant)(11819),Putrajaya Central (Cyberjaya)(11798),2,6.77,advanced booking,11819,11798
2023-02-02,Gem In Mall(11800),"Glomac Bus Stop,Persiaran Teknokrat 3 (11821)",1,2.96,on-demand,11800,11821
2023-02-15,Garden Plaza(11863),"Glomac Bus Stop,Persiaran Teknokrat 3 (11821)",1,3.76,on-demand,11863,11821
2023-02-01,Tamarind Square Bus Stop(11807),Shaftsbusry Square Bus Stop(11808),3,3.9,on-demand,11807,11808
2023-02-16,Gem In Mall(11800),D'Pulze Cyberjaya Bus Stop(11806),1,1.99,on-demand,11800,11806
2023-02-20,Gem In Mall(11800),University of Cyberjaya (UoC)(11829),1,1.36,on-demand,11800,11829
2023-02-16,Cyberia Gate 2(11858),UNIKOP(12216),4,3.45,on-demand,11858,12216
2023-02-27,McDonald's - Cyber 5 Bus Stop(12191),Cyberia Smart Homes Guard House Gate A(11857),2,2.03,on-demand,12191,11857
2023-02-18,Gem In Mall(11800),"Surau Al-Hidayah (Bus Stop), MMU(11828)",1,1.0,on-demand,11800,11828
2023-02-08,Putrajaya Central (Cyberjaya)(11798),Cyberia Crescent 1 Condo (Main Entrance)(11841),1,6.98,advanced booking,11798,11841
2023-02-24,"MMU Bus Stop, Persiaran Multimedia(11827)",SP 40 Perdana Lakeview West (Bus Stop)(11873),3,0.0,on-demand,11827,11873
2023-02-03,Kanvas SOHO (Bus Stop)(11825),Cyberjaya Smart School Complex(Bus Stop)(11870),1,1.96,on-demand,11825,11870
2023-02-09,The Arc Cyberjaya (Bus Stop)(11855),UNIKOP(12216),1,3.55,on-demand,11855,12216
2023-02-28,UNIKOP(12216),McDonald's - Cyber 5 Bus Stop(12191),3,1.22,on-demand,12216,12191
2023-02-01,Tamarind Square Bus Stop(11807),Star Central(11803),1,3.03,on-demand,11807,11803
2023-02-07,UNIKOP(12216),The Arc Cyberjaya (Bus Stop)(11855),3,3.2,on-demand,12216,11855
2023-02-12,Putrajaya Central (Cyberjaya)(11798),Cyberia Smart Homes Guard House Gate A(11857),2,7.03,on-demand,11798,11857
2023-02-20,Garden Plaza(11863),Sports Arena Cyberjaya(11814),2,4.52,on-demand,11863,11814
2023-02-02,Putrajaya Central (Cyberjaya)(11798),D'Pulze Cyberjaya Bus Stop(11806),1,6.18,on-demand,11798,11806
2023-02-21,University of Cyberjaya (UoC)(11829),Mutiara Ville Residence-Persiaran Sepang(11853),1,2.19,on-demand,11829,11853
2023-02-21,Mutiara Ville Residence-Persiaran Sepang(11853),D'Pulze Cyberjaya Bus Stop(11806),1,2.37,on-demand,11853,11806
2023-02-01,Mutiara Ville Residence-Persiaran Sepang(11853),Bank Islam Cyberjaya (CBD Perdana 2)(11820),2,2.79,on-demand,11853,11820
2023-02-27,Star Grocer Cybersquare(11824),Mutiara Ville Residence-Persiaran Sepang(11853),1,3.31,on-demand,11824,11853
2023-02-22,Star Grocer Cybersquare(11824),Tamarind Square Bus Stop(11807),1,2.6,on-demand,11824,11807
2023-02-13,Garden Plaza(11863),D'Pulze Cyberjaya Bus Stop(11806),2,4.97,on-demand,11863,11806
2023-02-01,The Arc Cyberjaya (Bus Stop)(11855),Mutiara Ville Residence-Persiaran Sepang(11853),1,1.41,on-demand,11855,11853
2023-02-13,UNIKOP(12216),The Arc Cyberjaya (Bus Stop)(11855),3,3.2,on-demand,12216,11855
2023-02-03,D'Pulze Cyberjaya Bus Stop(11806),The Arc Cyberjaya (Bus Stop)(11855),2,2.31,on-demand,11806,11855
2023-02-20,UNIKOP(12216),The Arc Cyberjaya (Bus Stop)(11855),1,3.2,on-demand,12216,11855
2023-02-24,UNIKOP(12216),D'Pulze Cyberjaya Bus Stop(11806),1,2.06,on-demand,12216,11806
2023-02-22,The Arc Cyberjaya (Bus Stop)(11855),CBD Perdana 1 (Saba Restaurant)(11819),1,2.49,on-demand,11855,11819
2023-02-10,Wisma Shell Bus Stop(12192),The Arc Cyberjaya (Bus Stop)(11855),1,3.37,on-demand,12192,11855
2023-02-11,Mutiara Ville Residence-Persiaran Sepang(11853),D'Pulze Cyberjaya Bus Stop(11806),1,2.37,on-demand,11853,11806
2023-02-09,Star Central(11803),Shaftsbusry Square Bus Stop(11808),2,2.45,on-demand,11803,11808
2023-02-16,Shaftsbusry Square Bus Stop(11808),D'Pulze Cyberjaya Bus Stop(11806),1,1.95,on-demand,11808,11806
2023-02-10,The Arc Cyberjaya (Bus Stop)(11855),Kanvas SOHO (Bus Stop)(11825),1,3.64,on-demand,11855,11825
2023-02-25,The Arc Cyberjaya (Bus Stop)(11855),Kanvas SOHO (Bus Stop)(11825),1,3.64,on-demand,11855,11825
2023-02-14,"Kompleks TM Bus Stop, Persiaran Sepang(11881)",Putrajaya Central (Cyberjaya)(11798),1,6.64,on-demand,11881,11798
2023-02-24,Mutiara Ville Residence-Persiaran Sepang(11853),Putrajaya Central (Cyberjaya)(11798),2,8.34,on-demand,11853,11798
2023-02-11,Century Square Bus Stop(11809),Mutiara Ville Residence-Persiaran Sepang(11853),1,3.84,on-demand,11809,11853
2023-02-10,Cyberia Gate 2(11858),Star Central(11803),1,3.16,on-demand,11858,11803
