origin,destination,origin_label,destination_label,origin_line_code,destination_line_code,origin_line,destination_line,flow_type,od_pair_short,ridership,rank,ridership_k,ridership_label,origin_lon,origin_lat,origin_matched_name,origin_match_score,origin_match_source,destination_lon,destination_lat,destination_matched_name,destination_match_score,destination_match_source
KJ10: KLCC,KJ09: Ampang Park,KLCC,Ampang Park,KJ,KJ,Kelana Jaya,Kelana Jaya,Same line,KLCC → Ampang Park,317113,1,317.113,317K,101.7133662,3.1592469,KJ10 KLCC,0.92,osm_fuzzy,101.6824785,2.9227186,station,0.92,osm_fuzzy
KG20: Tun Razak Exchange,KG18: Bukit Bintang,Tun Razak Exchange,Bukit Bintang,KG,KG,MRT Kajang,MRT Kajang,Same line,Tun Razak Exchange → Bukit Bintang,276337,2,276.337,276K,101.6824785,2.9227186,station,0.92,osm_fuzzy,101.6824785,2.9227186,station,0.92,osm_fuzzy
KJ09: Ampang Park,KJ10: KLCC,Ampang Park,KLCC,KJ,KJ,Kelana Jaya,Kelana Jaya,Same line,Ampang Park → KLCC,272559,3,272.559,273K,101.6824785,2.9227186,station,0.92,osm_fuzzy,101.7133662,3.1592469,KJ10 KLCC,0.92,osm_fuzzy
KG18: Bukit Bintang,KG22: Maluri,Bukit Bintang,Maluri,KG,KG,MRT Kajang,MRT Kajang,Same line,Bukit Bintang → Maluri,267297,4,267.297,267K,101.6824785,2.9227186,station,0.92,osm_fuzzy,101.6824785,2.9227186,station,0.92,osm_fuzzy
KG22: Maluri,KG18: Bukit Bintang,Maluri,Bukit Bintang,KG,KG,MRT Kajang,MRT Kajang,Same line,Maluri → Bukit Bintang,265101,5,265.101,265K,101.6824785,2.9227186,station,0.92,osm_fuzzy,101.6824785,2.9227186,station,0.92,osm_fuzzy
KG18: Bukit Bintang,KG20: Tun Razak Exchange,Bukit Bintang,Tun Razak Exchange,KG,KG,MRT Kajang,MRT Kajang,Same line,Bukit Bintang → Tun Razak Exchange,253206,6,253.206,253K,101.6824785,2.9227186,station,0.92,osm_fuzzy,101.6824785,2.9227186,station,0.92,osm_fuzzy
KJ09: Ampang Park,KJ03: Wangsa Maju,Ampang Park,Wangsa Maju,KJ,KJ,Kelana Jaya,Kelana Jaya,Same line,Ampang Park → Wangsa Maju,234356,7,234.356,234K,101.6824785,2.9227186,station,0.92,osm_fuzzy,101.6824785,2.9227186,station,0.92,osm_fuzzy
KJ15: KL Sentral,KJ10: KLCC,KL Sentral,KLCC,KJ,KJ,Kelana Jaya,Kelana Jaya,Same line,KL Sentral → KLCC,224492,8,224.492,224K,101.6868577,3.133679,KL Sentral,1.0,osm_fuzzy,101.7133662,3.1592469,KJ10 KLCC,0.92,osm_fuzzy
KJ15: KL Sentral,KJ16: Bank Rakyat Bangsar,KL Sentral,Bank Rakyat Bangsar,KJ,KJ,Kelana Jaya,Kelana Jaya,Same line,KL Sentral → Bank Rakyat Bangsar,211471,9,211.471,211K,101.6868577,3.133679,KL Sentral,1.0,osm_fuzzy,101.6824785,2.9227186,station,0.92,osm_fuzzy
KJ03: Wangsa Maju,KJ09: Ampang Park,Wangsa Maju,Ampang Park,KJ,KJ,Kelana Jaya,Kelana Jaya,Same line,Wangsa Maju → Ampang Park,208929,10,208.929,209K,101.6824785,2.9227186,station,0.92,osm_fuzzy,101.6824785,2.9227186,station,0.92,osm_fuzzy
KJ10: KLCC,KJ15: KL Sentral,KLCC,KL Sentral,KJ,KJ,Kelana Jaya,Kelana Jaya,Same line,KLCC → KL Sentral,208250,11,208.25,208K,101.7133662,3.1592469,KJ10 KLCC,0.92,osm_fuzzy,101.6868577,3.133679,KL Sentral,1.0,osm_fuzzy
KJ16: Bank Rakyat Bangsar,KJ15: KL Sentral,Bank Rakyat Bangsar,KL Sentral,KJ,KJ,Kelana Jaya,Kelana Jaya,Same line,Bank Rakyat Bangsar → KL Sentral,206781,12,206.781,207K,101.6824785,2.9227186,station,0.92,osm_fuzzy,101.6868577,3.133679,KL Sentral,1.0,osm_fuzzy
