month,origin,destination,origin_label,destination_label,origin_line_code,destination_line_code,origin_line,destination_line,flow_type,ridership,origin_rank,destination_rank,ridership_k
2026-01,AG07: Masjid Jamek,KG09: Bandar Utama,Masjid Jamek,Bandar Utama,AG,KG,Ampang,MRT Kajang,Inter-line,832,10,13,0.832
2026-01,AG07: Masjid Jamek,KG15: Muzium Negara,Masjid Jamek,Muzium Negara,AG,KG,Ampang,MRT Kajang,Inter-line,208,10,11,0.208
2026-01,AG07: Masjid Jamek,KG18: Bukit Bintang,Masjid Jamek,Bukit Bintang,AG,KG,Ampang,MRT Kajang,Inter-line,4533,10,1,4.533
2026-01,AG07: Masjid Jamek,KG20: Tun Razak Exchange,Masjid Jamek,Tun Razak Exchange,AG,KG,Ampang,MRT Kajang,Inter-line,1590,10,4,1.59
2026-01,AG07: Masjid Jamek,KG21: Cochrane,Masjid Jamek,Cochrane,AG,KG,Ampang,MRT Kajang,Inter-line,1337,10,12,1.337
2026-01,AG07: Masjid Jamek,KG22: Maluri,Masjid Jamek,Maluri,AG,KG,Ampang,MRT Kajang,Inter-line,1853,10,5,1.853
2026-01,AG07: Masjid Jamek,KJ03: Wangsa Maju,Masjid Jamek,Wangsa Maju,AG,KJ,Ampang,Kelana Jaya,Inter-line,3756,10,14,3.756
2026-01,AG07: Masjid Jamek,KJ09: Ampang Park,Masjid Jamek,Ampang Park,AG,KJ,Ampang,Kelana Jaya,Inter-line,3667,10,7,3.667
2026-01,AG07: Masjid Jamek,KJ10: KLCC,Masjid Jamek,KLCC,AG,KJ,Ampang,Kelana Jaya,Inter-line,18097,10,2,18.097
2026-01,AG07: Masjid Jamek,KJ14: Pasar Seni,Masjid Jamek,Pasar Seni,AG,KJ,Ampang,Kelana Jaya,Inter-line,6226,10,8,6.226
2026-01,AG07: Masjid Jamek,KJ15: KL Sentral,Masjid Jamek,KL Sentral,AG,KJ,Ampang,Kelana Jaya,Inter-line,19086,10,3,19.086
2026-01,AG07: Masjid Jamek,KJ16: Bank Rakyat Bangsar,Masjid Jamek,Bank Rakyat Bangsar,AG,KJ,Ampang,Kelana Jaya,Inter-line,4007,10,15,4.007
2026-01,AG07: Masjid Jamek,KJ17: Abdullah Hukum,Masjid Jamek,Abdullah Hukum,AG,KJ,Ampang,Kelana Jaya,Inter-line,4184,10,6,4.184
2026-01,AG07: Masjid Jamek,MR06: Bukit Bintang,Masjid Jamek,Bukit Bintang,AG,MR,Ampang,Monorail,Inter-line,2242,10,9,2.242
2026-01,KG09: Bandar Utama,AG07: Masjid Jamek,Bandar Utama,Masjid Jamek,KG,AG,MRT Kajang,Ampang,Inter-line,735,13,10,0.735
2026-01,KG09: Bandar Utama,KG15: Muzium Negara,Bandar Utama,Muzium Negara,KG,KG,MRT Kajang,MRT Kajang,Same line,15193,13,11,15.193
2026-01,KG09: Bandar Utama,KG18: Bukit Bintang,Bandar Utama,Bukit Bintang,KG,KG,MRT Kajang,MRT Kajang,Same line,18049,13,1,18.049
2026-01,KG09: Bandar Utama,KG20: Tun Razak Exchange,Bandar Utama,Tun Razak Exchange,KG,KG,MRT Kajang,MRT Kajang,Same line,9915,13,4,9.915
2026-01,KG09: Bandar Utama,KG21: Cochrane,Bandar Utama,Cochrane,KG,KG,MRT Kajang,MRT Kajang,Same line,3291,13,12,3.291
2026-01,KG09: Bandar Utama,KG22: Maluri,Bandar Utama,Maluri,KG,KG,MRT Kajang,MRT Kajang,Same line,6692,13,5,6.692
2026-01,KG09: Bandar Utama,KJ03: Wangsa Maju,Bandar Utama,Wangsa Maju,KG,KJ,MRT Kajang,Kelana Jaya,Inter-line,2767,13,14,2.767
2026-01,KG09: Bandar Utama,KJ09: Ampang Park,Bandar Utama,Ampang Park,KG,KJ,MRT Kajang,Kelana Jaya,Inter-line,673,13,7,0.673
2026-01,KG09: Bandar Utama,KJ10: KLCC,Bandar Utama,KLCC,KG,KJ,MRT Kajang,Kelana Jaya,Inter-line,4031,13,2,4.031
2026-01,KG09: Bandar Utama,KJ14: Pasar Seni,Bandar Utama,Pasar Seni,KG,KJ,MRT Kajang,Kelana Jaya,Inter-line,6161,13,8,6.161
2026-01,KG09: Bandar Utama,KJ15: KL Sentral,Bandar Utama,KL Sentral,KG,KJ,MRT Kajang,Kelana Jaya,Inter-line,547,13,3,0.547
2026-01,KG09: Bandar Utama,KJ16: Bank Rakyat Bangsar,Bandar Utama,Bank Rakyat Bangsar,KG,KJ,MRT Kajang,Kelana Jaya,Inter-line,981,13,15,0.981
2026-01,KG09: Bandar Utama,KJ17: Abdullah Hukum,Bandar Utama,Abdullah Hukum,KG,KJ,MRT Kajang,Kelana Jaya,Inter-line,2016,13,6,2.016
2026-01,KG09: Bandar Utama,MR06: Bukit Bintang,Bandar Utama,Bukit Bintang,KG,MR,MRT Kajang,Monorail,Inter-line,7,13,9,0.007
2026-01,KG15: Muzium Negara,AG07: Masjid Jamek,Muzium Negara,Masjid Jamek,KG,AG,MRT Kajang,Ampang,Inter-line,311,11,10,0.311
2026-01,KG15: Muzium Negara,KG09: Bandar Utama,Muzium Negara,Bandar Utama,KG,KG,MRT Kajang,MRT Kajang,Same line,18051,11,13,18.051
2026-01,KG15: Muzium Negara,KG18: Bukit Bintang,Muzium Negara,Bukit Bintang,KG,KG,MRT Kajang,MRT Kajang,Same line,26888,11,1,26.888
2026-01,KG15: Muzium Negara,KG20: Tun Razak Exchange,Muzium Negara,Tun Razak Exchange,KG,KG,MRT Kajang,MRT Kajang,Same line,18352,11,4,18.352
2026-01,KG15: Muzium Negara,KG21: Cochrane,Muzium Negara,Cochrane,KG,KG,MRT Kajang,MRT Kajang,Same line,11420,11,12,11.42
2026-01,KG15: Muzium Negara,KG22: Maluri,Muzium Negara,Maluri,KG,KG,MRT Kajang,MRT Kajang,Same line,22561,11,5,22.561
2026-01,KG15: Muzium Negara,KJ03: Wangsa Maju,Muzium Negara,Wangsa Maju,KG,KJ,MRT Kajang,Kelana Jaya,Inter-line,205,11,14,0.205
2026-01,KG15: Muzium Negara,KJ09: Ampang Park,Muzium Negara,Ampang Park,KG,KJ,MRT Kajang,Kelana Jaya,Inter-line,194,11,7,0.194
2026-01,KG15: Muzium Negara,KJ10: KLCC,Muzium Negara,KLCC,KG,KJ,MRT Kajang,Kelana Jaya,Inter-line,1025,11,2,1.025
2026-01,KG15: Muzium Negara,KJ14: Pasar Seni,Muzium Negara,Pasar Seni,KG,KJ,MRT Kajang,Kelana Jaya,Inter-line,5448,11,8,5.448
