IMEI,total_duration,dropoff_datetime,pickup_datetime,user_on_booking_lat_long,user_on_dropoff_lat_long
864000000000000,431472,2023-02-28 09:29:54,2023-02-28 09:22:42,"2.9232637,101.634019","2.9189766,101.6518968"
864000000000000,638211,2023-03-18 08:01:31,2023-03-18 07:50:53,"2.923299,101.6628187","2.9232642,101.6356563"
863000000000000,2856904,2023-01-24 13:24:07,2023-01-24 12:36:30,"2.9261588,101.6555185","2.9308708,101.6477061"
864000000000000,153772,2023-02-04 03:06:50,2023-02-04 03:04:16,"2.9224936,101.634272","2.9232745,101.6358441"
864000000000000,893458,2023-03-15 08:22:35,2023-03-15 08:07:42,"2.9258417,101.6618268","2.9254469,101.6377597"
863000000000000,67048,2023-01-29 13:42:13,2023-01-29 13:41:06,"2.9357333,101.641225","2.9356183,101.6411417"
863000000000000,6985654,2023-02-15 01:44:45,2023-02-14 23:48:19,"2.9352795,101.6406811","2.9352093,101.6407409"
863000000000000,5076917,2023-03-15 23:31:48,2023-03-15 22:07:11,"2.9355499,101.641031","2.9349281,101.6408313"
864000000000000,270406,2023-03-15 15:12:15,2023-03-15 15:07:44,"2.9231157,101.6341156","2.9304744,101.6380811"
864000000000000,696440,2023-01-23 01:29:37,2023-01-23 01:18:00,"2.9222684,101.6344312","2.9253253,101.6376209"
863000000000000,993138,2023-01-24 13:08:30,2023-01-24 12:51:57,"2.9352788,101.6407257","2.9357083,101.6411033"
864000000000000,2208165,2023-01-24 19:04:18,2023-01-24 18:27:30,"2.9355731,101.6410458","2.9357234,101.6408595"
864000000000000,204683,2023-03-24 02:25:59,2023-03-24 02:22:34,"2.9254507,101.6377402","2.9223716,101.6393371"
864000000000000,153685,2023-04-06 01:17:31,2023-04-06 01:14:58,"2.9234408,101.6357274","2.9229548,101.6360575"
864000000000000,62803,2023-03-20 21:13:44,2023-03-20 21:12:41,"2.9217281,101.6511752","2.92177,101.6510169"
864000000000000,1166002,2023-01-09 21:03:29,2023-01-09 20:44:03,"2.9222911,101.654068","2.9089777,101.6628025"
864000000000000,423577,2023-02-09 15:15:28,2023-02-09 15:08:24,"2.922653,101.6405822","2.9218245,101.6510622"
864000000000000,488656,2023-04-04 21:36:41,2023-04-04 21:28:33,"2.9341135,101.6315016","2.9201169,101.6365473"
864000000000000,93458,2023-03-24 13:57:41,2023-03-24 13:56:07,"2.9207515,101.6562814","2.9196735,101.6567468"
864000000000000,2185122,2023-01-26 20:13:37,2023-01-26 19:37:12,"2.9220199,101.6610907","2.9220729,101.6611427"
864000000000000,210053,2023-01-11 11:08:33,2023-01-11 11:05:03,"2.9195117,101.6568248","2.9136644,101.6552871"
864000000000000,6994215,2023-03-17 19:47:16,2023-03-17 17:50:42,"2.9145877,101.6669318","2.9146041,101.6670208"
